month_index,fe,fe_ci_ll,fe_ci_ul
391,-5.78485756923537,-6.63389250577282,-4.93582263269792
392,-5.65308679716155,-6.66359949506992,-4.64257409925317
393,-6.71982389450083,-7.95826504317262,-5.48138274582904
394,-5.99747635228433,-6.84104509510911,-5.15390760945955
395,-5.8521277454935,-6.75940968043108,-4.94484581055592
396,-5.66055348191683,-6.65082081182202,-4.67028615201164
397,-5.92437890971655,-7.19359681890958,-4.65516100052351
398,-5.49358299712272,-6.76112160482577,-4.22604438941968
399,-5.81145749257283,-7.04441795355308,-4.57849703159258
400,-5.56936692098967,-6.76256535743164,-4.37616848454769
401,-6.08441676860187,-7.54399999115462,-4.62483354604912
402,-5.44194811260917,-6.37685347475281,-4.50704275046554
403,-5.31835347027103,-6.24570691599375,-4.39100002454831
404,-4.92754025757623,-5.941496432937,-3.91358408221547
405,-5.29462754897446,-6.28804692129892,-4.30120817665
406,-6.99655344380641,-8.95942236672346,-5.03368452088935
407,-5.31508213942688,-6.30171861789173,-4.32844566096202
408,-5.01852819588075,-6.11495125757996,-3.92210513418155
409,-5.63734624985122,-6.72410459548718,-4.55058790421525
410,-5.5988678806961,-6.73929356623462,-4.45844219515759
411,-5.45986659451888,-6.38878506369119,-4.53094812534658
412,-5.46297201991826,-6.51838745775637,-4.40755658208015
413,-5.70908880969881,-6.89350091083786,-4.52467670855975
414,-5.29116381347174,-6.26470178571177,-4.31762584123171
415,-5.23768495358575,-6.19965426423913,-4.27571564293237
416,-5.47867882376579,-6.62713907275183,-4.33021857477976
417,-5.75562830593977,-6.78586357569193,-4.72539303618761
418,-5.96972271142858,-7.06527965883927,-4.8741657640179
419,-5.29097433492209,-6.22092464638488,-4.36102402345929
420,-5.66033111889714,-6.78781914419853,-4.53284309359575
421,-6.03728297699507,-7.35421224201573,-4.72035371197441
422,-5.58439968985674,-6.70095905310972,-4.46784032660377
423,-5.44250669225526,-6.39856385879781,-4.48644952571271
424,-5.90336725434052,-6.94792211061448,-4.85881239806656
425,-5.52669257923948,-6.45589101904567,-4.59749413943329
426,-5.45032663766963,-6.40552027936074,-4.49513299597853
427,-6.51206088170825,-7.75765361172341,-5.26646815169308
428,-6.91174153607902,-8.23956959502881,-5.58391347712924
429,-5.84309250751049,-6.85112765633673,-4.83505735868425
430,-5.99756528030746,-6.95226100615883,-5.0428695544561
431,-6.38438492490254,-7.53816357952935,-5.23060627027573
432,-6.04236527377237,-7.23596724854216,-4.84876329900258
433,-5.48813348386991,-6.71143252735849,-4.26483444038132
434,-6.23022083529551,-7.21408591166093,-5.24635575893008
435,-5.64959020331009,-6.64675477735459,-4.6524256292656
436,-5.91479306485168,-6.84992242059709,-4.97966370910626
437,-6.02345355964302,-7.00316047272558,-5.04374664656046
438,-6.07299703155846,-7.07703477201029,-5.06895929110663
439,-6.13609765556132,-7.16802143404141,-5.10417387708124
440,-5.81423166593364,-6.84374592320126,-4.78471740866603
441,-6.87933628927208,-8.08562875603884,-5.67304382250531
442,-6.07338824719651,-7.12028891969019,-5.02648757470283
443,-6.26688464071626,-7.30664000009214,-5.22712928134038
444,-6.08776606403253,-7.2109490490922,-4.96458307897286
445,-7.1392559270833,-8.41287517431634,-5.86563667985026
446,-6.04645601961259,-7.1391523309028,-4.95375970832237
447,-5.96712255278425,-6.90317590554569,-5.03106920002281
448,-5.97913972541232,-6.94140342621792,-5.01687602460672
449,-6.55820647243595,-7.4688230242709,-5.647589920601
450,-6.58298459456875,-7.57781632014308,-5.58815286899443
451,-5.85606721026739,-6.82799357536599,-4.88414084516879
452,-5.40656726161126,-6.43900329799475,-4.37413122522777
453,-5.8011314502949,-6.88725211588238,-4.71501078470741
454,-6.01852857698208,-7.00191178338975,-5.03514537057442
455,-6.06104135867414,-7.02401029027845,-5.09807242706983
456,-5.88122766774558,-7.03638659434384,-4.72606874114732
457,-5.86376170711446,-6.9362116025668,-4.79131181166213
458,-5.70725787372113,-6.8120570628076,-4.60245868463467
459,-5.68640296256066,-6.61387704196906,-4.75892888315225
460,-5.58360888841038,-6.46167794232689,-4.70553983449387
461,-5.41838587805534,-6.35069306894071,-4.48607868716998
462,-5.95203280154236,-6.85686831853757,-5.04719728454715
463,-6.22298287955542,-7.23992106161154,-5.2060446974993
464,-5.57160559492281,-6.52823188079476,-4.61497930905087
465,-5.67112368546334,-6.60688316571147,-4.7353642052152
466,-6.14746489371118,-7.20965833505724,-5.08527145236511
