label,fe,fe_ci_ll,fe_ci_ul,year,fe_raw,fe_ci_ll_raw,fe_ci_ul_raw,segment,segment_population
1997,-0.0007401123518163419,-0.3431082504964149,0.34162802579278156,1997,-0.0031674515614056,-0.367214707346447,0.360879804223635,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1998,-0.0025578025609444385,-0.34493357459338125,0.3398179694714922,1998,-0.0051002398637474,-0.369155612922591,0.358955133195096,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1999,0.07614888023340571,-0.26827480470404674,0.42057256517085767,1999,0.0785902344850233,-0.287642727520029,0.444823196490075,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2000,-0.004212721258482223,-0.3481791154117755,0.33975367289481107,2000,-0.0068599497878395,-0.372606664865911,0.358886765290232,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2001,0.013991403498514708,-0.3305970262057668,0.35857983320279646,2001,0.0124968796696794,-0.353911258917499,0.378905018256858,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2002,0.10293175454367981,-0.2385467370320216,0.4444102461193803,2002,0.107069029116821,-0.256032246724582,0.470170304958223,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2003,0.05356615407445477,-0.28784465833484274,0.3949769664837518,2003,0.0545775458894538,-0.308451765268154,0.417606857047061,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2004,0.07005899196698102,-0.2710935848185778,0.4112115687525399,2004,0.072114727963172,-0.290639995814087,0.434869451740431,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2005,-0.026488473450023975,-0.36958800263222946,0.3166110557321819,2005,-0.0305462264952047,-0.39537118578265,0.334278732792241,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2006,0.13021095134761304,-0.2114838246996893,0.47190572739491543,2006,0.1360755739148,-0.227255681762875,0.499406829592475,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2007,0.08098145453931402,-0.2596581835454493,0.42162109262407776,2007,0.0837288125781173,-0.27848049266977,0.445938117826005,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2008,0.16025155258376808,-0.18028344811169567,0.5007865532792328,2008,0.168018378234798,-0.194079663872093,0.53011642034169,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2009,0.17205421215379618,-0.1685187817927289,0.5126272061003213,2009,0.180568394865198,-0.181570046266153,0.542706835996549,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2010,0.08596297305795093,-0.25511037713704654,0.42703632325294866,2010,0.0890257661912079,-0.273644714282818,0.451696246665234,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2011,0.0952733090314938,-0.2446075423699274,0.4351541604329152,2011,0.0989256426223889,-0.262476828755694,0.460328114000472,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2012,0.11112045052668186,-0.22861409879158925,0.45085499984495303,2012,0.115776242110487,-0.245470663179656,0.47702314740063,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2013,0.07841962140282807,-0.2614919275579923,0.41833117036364886,2013,0.0810047614202873,-0.280430351319574,0.442439874160149,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2014,0.13374813922988443,-0.20602804996289212,0.473524328422661,2014,0.139836740326825,-0.221454441519329,0.501127922172979,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2015,0.1986623408085866,-0.14062718135382637,0.5379518629709996,2015,0.208861378759221,-0.151912319778337,0.569635077296779,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2016,0.16580157735061962,-0.17307132512717124,0.5046744798284105,2016,0.173919836521369,-0.186410861526381,0.534250534569119,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2017,0.2997506923756113,-0.03869978644681957,0.638201171198042,2017,0.316350753147985,-0.0435307729255682,0.676232279221538,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2018,0.6026226711643465,0.26461877211797497,0.9406265702107172,2018,0.63840091041366,0.278994242026469,0.99780757880085,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2019,0.7252907472456317,0.38705807653929947,1.0635234179519657,2019,0.768836460613608,0.409186534499628,1.12848638672759,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2020,0.751264425434001,0.4129054349282989,1.0896234159397067,2020,0.796454819957333,0.43667057533883,1.15623906457584,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2021,0.8213610446662309,0.4836989995110853,1.159023089821373,2021,0.870990032286363,0.511946864345372,1.23003320022735,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
2022,1.1948949529897113,0.8570470541981592,1.5327428517812616,2022,1.26817650823814,0.908935718209188,1.62741729826709,extension_linked_gogod_players,crosswalk-linked recent GoGoD players
2023,1.2070490264681084,0.8690475276511346,1.545050525285088,2023,1.28110019068242,0.921696074509726,1.64050430685512,extension_linked_gogod_players,crosswalk-linked recent GoGoD players
2024,1.1847777546360638,0.8457646280313558,1.523790881240762,2024,1.25741867803572,0.896938876718969,1.61789847935246,extension_linked_gogod_players,crosswalk-linked recent GoGoD players
2025,1.193900724337627,0.8557901899150975,1.5320112587601509,2025,1.26711932396166,0.907599267931944,1.62663937999137,extension_linked_gogod_players,crosswalk-linked recent GoGoD players
2026,1.070576529720056,0.7155726226787281,1.4255804367613827,2026,1.13598610909613,0.758502973978049,1.51346924421421,extension_linked_gogod_players,crosswalk-linked recent GoGoD players
